GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AJYPE001,AJYPE002,AJYPE003,AJYPE004,AJYPE005,AJYPE006,AJYPE007,AJYPE008,AJYPE009,AJYPE010,AJYPE011,AJYPE012,AJYPE013,AJYPE014,AJYPE015,AJYPE016,AJYPE017,AJYPE018,AJYPE019,AJYPE020,AJYPE021,AJYPE022,AJYPE023,AJYPE024,AJYPE025,NAME_M,AJYPM001,AJYPM002,AJYPM003,AJYPM004,AJYPM005,AJYPM006,AJYPM007,AJYPM008,AJYPM009,AJYPM010,AJYPM011,AJYPM012,AJYPM013,AJYPM014,AJYPM015,AJYPM016,AJYPM017,AJYPM018,AJYPM019,AJYPM020,AJYPM021,AJYPM022,AJYPM023,AJYPM024,AJYPM025
"G0100010","2014-2018",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",37166,287,0,0,23,0,70,22,3,122,108,321,840,892,849,667,10104,2015,2235,5319,2998,5903,3406,510,472,"Autauga County, Alabama",115,110,28,28,26,28,59,35,5,73,73,139,251,185,210,169,714,323,340,549,422,611,418,237,190
"G0100030","2014-2018",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",146989,1355,14,46,0,0,61,227,96,515,343,1321,2012,3314,2742,2264,33308,7271,9930,22336,13759,30431,11338,2992,1314,"Baldwin County, Alabama",282,332,21,51,28,28,44,173,59,204,138,316,551,685,483,469,1578,702,739,1042,1005,1278,832,471,267
"G0100050","2014-2018",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",18173,380,4,0,5,42,134,57,62,112,250,444,789,913,1134,575,5040,1446,1257,2030,1279,1417,606,92,105,"Barbour County, Alabama",81,115,7,22,12,46,64,49,39,63,101,97,153,170,158,132,393,197,167,234,210,208,122,47,50
"G0100070","2014-2018",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",15780,284,0,18,0,0,41,5,22,163,127,243,440,490,676,141,5996,1475,752,2186,908,1197,442,87,87,"Bibb County, Alabama",298,104,22,30,22,22,48,10,33,113,62,94,161,148,251,67,486,257,194,355,285,372,130,67,79
"G0100090","2014-2018",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",39627,692,12,2,0,50,27,127,135,834,228,860,1166,1689,1231,808,11245,2244,2844,5648,4775,3217,1405,240,148,"Blount County, Alabama",138,220,19,4,28,38,25,117,87,238,93,216,231,365,260,181,488,308,407,545,577,380,271,90,83
"G0100110","2014-2018",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",7104,86,0,0,0,0,1,0,62,34,110,53,126,216,615,457,2530,287,211,994,377,526,229,142,48,"Bullock County, Alabama",224,75,19,19,19,19,3,19,70,39,83,52,66,112,233,176,562,139,103,298,163,145,91,97,44
"G0100130","2014-2018",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",13888,212,0,0,10,9,0,27,4,67,85,173,411,323,448,372,5285,806,526,1820,1075,1344,655,136,100,"Butler County, Alabama",88,116,22,22,20,10,22,32,10,31,62,74,170,112,135,111,358,150,163,258,193,193,147,64,53
"G0100150","2014-2018",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",79135,1024,21,0,0,0,153,136,222,503,618,1335,2023,2737,2381,1467,20714,4939,6068,14406,6169,8060,4372,987,800,"Calhoun County, Alabama",100,208,32,28,28,28,85,90,117,186,172,287,365,403,331,226,973,446,557,742,575,643,457,220,199
"G0100170","2014-2018",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",23564,447,0,0,42,0,64,43,23,204,121,408,675,1018,744,594,7171,1889,1431,3554,2018,2200,602,245,71,"Chambers County, Alabama",129,159,25,25,48,25,53,38,39,84,63,137,169,231,159,185,494,301,208,402,323,275,138,98,40
"G0100190","2014-2018",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",18673,232,0,0,15,8,9,12,47,279,297,494,616,662,821,200,5867,1290,1106,2895,1416,1273,665,358,111,"Cherokee County, Alabama",131,81,22,22,24,13,14,21,37,113,116,154,174,180,196,62,467,238,198,425,207,222,157,149,68
"G0100210","2014-2018",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",29793,555,0,15,12,38,70,30,22,178,155,508,1029,881,1132,677,10940,2185,1500,3557,2090,2728,1120,267,104,"Chilton County, Alabama",253,152,25,25,17,46,72,41,28,91,90,175,281,220,276,202,841,402,247,486,296,366,244,100,102
"G0100230","2014-2018",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",9436,102,0,0,0,0,7,31,21,61,58,232,290,251,425,276,2999,607,631,1193,1027,770,376,38,41,"Choctaw County, Alabama",81,58,19,19,19,19,10,29,23,40,39,87,92,91,107,99,257,153,139,162,195,179,118,29,32
"G0100250","2014-2018",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",16870,197,5,0,0,47,0,52,77,133,126,268,420,678,634,538,6429,943,787,2104,1314,1342,599,99,78,"Clarke County, Alabama",20,111,7,22,22,60,22,48,63,83,67,128,142,223,152,159,453,226,170,253,220,185,155,49,44
"G0100270","2014-2018",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",9285,124,3,0,0,50,27,0,100,102,198,426,342,521,206,176,2980,386,441,1366,893,510,354,58,22,"Clay County, Alabama",156,79,7,19,19,58,49,19,88,63,96,175,123,149,77,94,301,119,128,242,171,149,112,39,34
"G0100290","2014-2018",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",10445,165,0,0,7,0,47,33,81,96,90,227,438,495,522,163,3290,845,767,1262,489,927,335,130,36,"Cleburne County, Alabama",63,89,19,19,11,19,51,37,60,67,51,94,121,112,151,63,318,150,157,209,122,191,113,84,34
"G0100310","2014-2018",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",34912,411,0,0,0,23,31,25,67,184,281,495,824,953,840,699,7941,1782,2263,5856,4062,5439,2225,310,201,"Coffee County, Alabama",115,109,28,28,28,29,16,29,65,79,88,118,131,212,175,155,477,237,266,394,371,407,262,90,82
"G0100330","2014-2018",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",38638,394,27,0,0,14,66,9,88,250,362,647,1003,1262,1196,698,11394,2533,2185,6426,2848,4573,2141,381,141,"Colbert County, Alabama",85,144,32,28,28,17,84,14,68,99,103,154,220,259,215,161,751,364,271,545,338,477,371,97,57
"G0100350","2014-2018",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",8848,205,0,0,0,0,30,0,7,70,96,209,170,221,480,215,3752,563,317,841,723,632,233,29,55,"Conecuh County, Alabama",113,107,19,19,19,19,42,19,13,66,84,77,93,98,169,102,367,171,103,172,212,206,99,25,69
"G0100370","2014-2018",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",8230,127,0,0,0,20,4,14,22,47,140,94,231,351,359,266,2614,564,481,1399,544,706,226,21,0,"Coosa County, Alabama",90,91,19,19,19,35,9,18,33,37,98,66,102,167,122,93,304,137,153,226,148,153,84,22,19
"G0100390","2014-2018",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",26438,284,0,0,8,17,38,61,122,216,331,581,680,973,856,363,7698,1670,2051,3870,2667,2539,1063,257,93,"Covington County, Alabama",89,96,25,25,9,18,39,44,65,103,128,137,126,168,199,96,425,235,257,338,284,268,167,84,52
